step,total_steps,progress_pct,epoch,resolved_epochs,epoch_pct,iter,steps_per_epoch,seen,epoch_items,phase,ms_per_update,lr,updates_per_s,samples_per_s,eta_seconds,loss_total,l1,sem,stft,sc,cx,sgrad,stft_cos,mel,lin,cos_pct,ema_cos_pct,grad_norm,vq_loss,marg_ent,u0,u1,u2,u3,stft_weight,sem_weight,vq_weight,adv_weight,marginal_weight,balancer,epochs_per_hour,seconds_per_epoch,run,source_file,ae_l1,ae_cos_pct,ae_anchor,sisdr_loss,preemph,fm_weight,run_rows,run_last_step,run_label,run_label_wrapped,run_detail,phase_path
8,8,100.0,1,1,0.0154,8,52007,16,104014,D/full,1582.7824,2.2283614e-05,0.631799,1.263598,0.0,13.602363,0.097168,0.0,4.064037,0.999898,0.557076,0.841797,0.254598,4.465971,0.700693,-0.0801,0.1572,19.5,0.079102,4.75,21/256,37/128,,,0.125328,0.0,0.25,0.0,0.499927,grad,0.043734,82315.762089,20260426_082726,experiments\20260426_082726\logs.csv,,,,,,,8,8,full model: grad balancer,full model: grad balancer,"A/AE -> B/RVQ -> D/full; stft=0.13, vq=0.25, run 082726",A/AE -> B/RVQ -> D/full
8,8,100.0,1,1,0.0077,8,104014,8,104014,D/full,218.1042,2.2283614e-05,4.584964,4.584964,0.0,14.912768,0.053344,0.0,5.919697,0.99644,0.390835,0.815403,0.19418,6.060491,0.553022,-13.6853,-0.9911,83.917542,5.905447,0.207024,1/256,2/128,,,0.65,0.0,0.5,0.0,0.499927,off,0.158689,22685.891661,20260426_211036,experiments\20260426_211036\logs.csv,0.066713,-6.9259,0.140283,5.340261,,,2,8,full model: balancer OFF,full model: balancer OFF,"B/RVQ -> D/full; stft=0.65, vq=0.50, run 211036",B/RVQ -> D/full
8,8,100.0,1,1,1.9656,8,407,2048,104014,ae,1193.346,2.2283614e-05,0.83798,214.522864,0.0,5.443055,0.128906,0.0,2.242054,1.178176,0.601681,0.850154,0.278976,2.541455,0.63489,-0.1335,-0.1335,104.5,0.0,0.0,,,,,1.25,0.0,0.0,0.0,0.0,off,7.412108,485.691819,20260426_093732,experiments\20260426_093732\logs.csv,,,,,,,1,8,AE only: balancer OFF,AE only: balancer OFF,"ae; stft=1.25, vq=0.00, run 093732",ae
8,8,100.0,1,1,1.9656,8,407,2048,104014,D/full,1212.08,2.2283614e-05,0.825028,211.207181,0.0,10.438313,0.111816,0.0,2.050782,1.036501,0.588585,0.848626,0.26337,2.188042,0.604786,-0.0212,-0.0212,54.25,14.25,1.296875,6/256,7/128,,,1.25,0.0,0.25,0.0,0.499927,off,7.297545,493.316561,20260426_093946,experiments\20260426_093946\logs.csv,,,,,,,1,8,full model: balancer OFF,full model: balancer OFF,"D/full; stft=1.25, vq=0.25, run 093946",D/full
10,10,100.0,1,1,0.0096,10,104014,10,104014,D/full,81.8261,2.14683045e-05,12.221041,12.221041,0.0,63.479301,0.130986,0.0,7.268242,0.999672,1.108323,0.879259,0.549644,7.717481,1.318314,-1.6791,0.2387,348.765106,4.51853,0.322839,3/256,3/128,,,0.65,0.0,0.5,0.0,0.499906,grad,0.422979,8511.05901,20260426_185556,experiments\20260426_185556\logs.csv,0.130882,-1.2406,0.166682,7.901213,,,2,10,full model: grad balancer,full model: grad balancer,"B/RVQ -> D/full; stft=0.65, vq=0.50, run 185556",B/RVQ -> D/full
40,40,100.0,1,1,9.828,40,407,10240,104014,D/full,504.9875,2.009248e-05,1.980247,506.943281,0.0,13.658693,0.176758,0.0,2.901264,0.989971,0.544474,0.837773,0.230782,3.424345,0.630115,-42.9688,-2.5929,1408.0,0.404297,4.3e-05,1/256,1/128,,,0.65,0.0,0.5,0.0,0.499594,off,17.5157,205.529896,20260426_185846,experiments\20260426_185846\logs.csv,0.179688,-53.5156,0.243164,8.890086,,,2,40,full model: balancer OFF,full model: balancer OFF,"B/RVQ -> D/full; stft=0.65, vq=0.50, run 185846",B/RVQ -> D/full
40,40,100.0,1,1,9.828,40,407,10240,104014,D/full,501.229,2.009248e-05,1.995096,510.744571,0.0,6.059779,0.174805,0.0,2.082126,0.991943,0.544656,0.837367,0.237139,2.612197,0.623326,-30.8594,-0.6001,194.0,0.257812,0.069824,1/256,2/128,,,0.65,0.0,0.5,0.0,0.499594,off,17.647041,204.00021,20260426_190014,experiments\20260426_190014\logs.csv,0.174805,-32.4219,0.220703,0.0,,,2,40,full model: balancer OFF,full model: balancer OFF,"B/RVQ -> D/full; stft=0.65, vq=0.50, run 190014",B/RVQ -> D/full
40,40,100.0,1,1,9.828,40,407,10240,104014,D/full,504.1317,2.009248e-05,1.983608,507.803767,0.0,13.37115,0.179688,0.0,3.160529,0.940797,0.781929,0.84052,0.267635,3.854407,0.894654,-43.3594,-6.1619,816.0,0.382812,3e-06,1/256,1/128,,,0.65,0.0,0.5,0.0,0.499594,off,17.545431,205.181621,20260426_185932,experiments\20260426_185932\logs.csv,0.181641,-47.0703,0.237305,8.892204,,,2,40,full model: balancer OFF,full model: balancer OFF,"B/RVQ -> D/full; stft=0.65, vq=0.50, run 185932",B/RVQ -> D/full
326,65200,0.5,1,200,100.0,326,326,104014,104014,A/AE,500.9563,7.99963216e-05,1.996182,638.778249,32499.04,11.599615,0.079102,0.0,1.799583,0.780036,0.448476,0.854817,0.145177,1.640882,0.468883,40.8203,40.8203,34.75,0.0,0.0,,,,,0.140234,0.0,0.0,0.0,0.0,grad,22.043728,163.31176,20260424_022614,experiments\20260424_022614\logs.csv,,,,,,,1,326,AE only: grad balancer,AE only: grad balancer,"A/AE; stft=0.14, vq=0.00, run 022614",A/AE
2172,72400,3.0,6,200,100.0,362,362,104014,104014,A/AE,437.3691,7.98669814e-05,2.286398,658.482741,30715.557,7.154794,0.048584,0.0,1.564379,0.457409,0.410612,0.820967,0.167726,1.163337,0.456224,83.9844,77.0447,104.0,0.0,0.0,,,,,0.226766,0.0,0.0,0.0,0.0,grad,22.737664,158.327612,20260426_083014,experiments\20260426_083014\logs.csv,,,,,,,6,2172,AE only: grad balancer,AE only: grad balancer,"A/AE; stft=0.23, vq=0.00, run 083014",A/AE
6105,81400,7.5,15,200,100.0,407,407,104014,104014,B/RVQ,765.5843,7.91713679e-05,1.306192,334.385108,57644.672,-0.791862,0.028564,0.0,0.927343,0.248807,0.595355,0.68861,0.160342,0.503157,0.553392,95.3125,84.4908,35.5,0.570312,4.625,247/256,128/128,,,0.65,0.0,0.126367,0.0,0.110297,off,11.55354,311.592824,20260426_211231,experiments\20260426_211231\logs.csv,0.028442,95.3125,0.018921,-2.337316,,,15,6105,RVQ quality run,RVQ quality run,"AE -> RVQ; high cosine / low L1 short run, balancer off",A/AE -> B/RVQ
6516,72400,9.0,18,200,100.0,362,362,104014,104014,A/AE,270.2339,7.88091737e-05,3.700498,1065.743303,17804.092,2.686479,0.063477,0.0,0.948371,0.476751,0.62762,0.77731,0.10476,0.726067,0.450571,77.3438,14.9723,17.5,0.0,0.0,,,,,1.25,0.0,0.0,0.0,0.0,off,36.800528,97.824682,20260426_090416,experiments\20260426_090416\logs.csv,,,,,,,18,6516,AE only: fast reconstruction,AE only: fast reconstruction,"Autoencoder-only reconstruction run, balancer off",A/AE
6919,8140,85.0,17,20,100.0,407,407,104014,104014,D/full,937.8444,2.32750627e-05,1.066275,272.966397,1145.108,5.974129,0.057617,0.0,1.330725,0.665165,0.577442,0.824389,0.203433,0.981203,0.605665,66.0156,80.9242,35.5,6.9375,4.4375,251/256,118/128,,,0.65,0.0,0.5,0.015,0.427937,off,9.431425,381.702661,20260426_223149,experiments\20260426_223149\logs.csv,0.052734,77.7344,0.048584,0.243648,0.036377,1.0,17,6919,GAN smoke test,GAN smoke test,AE -> RVQ -> GAN; short adversarial test before full training,A/AE -> B/RVQ -> C/GAN -> D/full
7240,7240,100.0,20,20,100.0,362,362,104014,104014,B/RVQ,427.6586,2.00000028e-05,2.338314,673.434399,0.0,346.133728,0.082031,0.0,1.611937,0.64657,0.518773,0.82821,0.113296,1.405457,0.479372,55.8594,42.5061,199.0,221.0,3.421875,32/32,32/32,32/32,,0.464328,0.0,1.5,0.0,0.716647,grad,23.25395,154.812407,20260424_125601,experiments\20260424_125601\logs.csv,,,,,,,20,7240,RVQ: grad balancer,RVQ: grad balancer,"A/AE -> B/RVQ; stft=0.46, vq=1.50, run 125601",A/AE -> B/RVQ
16280,81400,20.0,40,200,100.0,407,407,104014,104014,A/AE,256.274,7.42711904e-05,3.902074,998.93101,16688.56,0.649692,0.124512,0.0,1.000922,0.512486,0.561628,0.797752,0.069186,0.598374,0.321664,-93.75,-54.7747,30.75,0.0,0.0,,,,,0.65,0.0,0.0,0.0,0.0,off,34.514662,104.303499,20260426_200126,experiments\20260426_200126\logs.csv,0.0,100.0,0.0,-2.24739,,,40,16280,AE only: long check,AE only: long check,Autoencoder-only check with high throughput and no VQ,A/AE
35409,81400,43.5,87,200,100.0,407,407,104014,104014,B/RVQ,284.6127,5.60847526e-05,3.513547,899.467937,13089.623,3.415393,0.055176,0.0,1.020878,0.328092,1.151381,0.709709,0.149867,0.799565,0.714159,79.2969,42.7886,36.75,1.664062,4.4375,256/256,97/128,,,1.25,0.0,0.113645,0.0,0.035359,off,31.078054,115.83737,20260426_160128,experiments\20260426_160128\logs.csv,0.05542,79.2969,0.04834,,,,87,35409,RVQ ablation: balancer OFF,RVQ ablation: balancer OFF,"AE -> RVQ; stronger STFT, small VQ, no gradient balancer",A/AE -> B/RVQ
45974,72400,63.5,127,200,100.0,362,362,104014,104014,D/full,453.9426,3.76557557e-05,2.202922,634.441508,11995.886,102.761612,0.056396,0.0,1.344353,0.616067,0.414667,0.825529,0.129957,1.088714,0.403771,63.2812,68.6826,282.0,372.0,3.4375,64/64,32/32,16/16,,0.5,0.0,0.25,0.0,0.12,grad,21.907511,164.327205,20260425_183047,experiments\20260425_183047\logs.csv,,,,,,,127,45974,full model: grad balancer,full model: grad balancer,"A/AE -> B/RVQ -> D/full; stft=0.50, vq=0.25, run 183047",A/AE -> B/RVQ -> D/full
64798,72400,89.5,179,200,100.0,362,362,104014,104014,D/full,432.7676,2.16178609e-05,2.310709,665.484199,3289.899,34.457104,0.077148,0.0,1.569907,0.58467,0.485319,0.835653,0.134334,1.370295,0.452757,66.4062,63.4189,55.5,91.0,3.125,64/64,32/32,16/16,,0.5,0.0,0.25,0.0,0.12,grad,22.979427,156.661871,20260426_002013,experiments\20260426_002013\logs.csv,,,,,,,179,64798,"Full model, light VQ","Full model, light VQ","AE -> RVQ -> full model; gradient balancer, lighter VQ and marginal regularization",A/AE -> B/RVQ -> D/full
72400,72400,100.0,200,200,100.0,362,362,104014,104014,D/full,695.4763,2e-05,1.437864,414.104718,0.0,305.327057,0.058105,0.0,1.653989,0.550972,0.42216,0.822706,0.136551,1.48127,0.424698,69.9219,62.8745,222.0,388.0,3.4375,64/64,32/32,16/16,,0.5,0.0,0.75,0.005,0.15,grad,14.299196,251.762405,20260425_004452,experiments\20260425_004452\logs.csv,,,,,,,200,72400,Full + GAN baseline,Full + GAN baseline,AE -> RVQ -> GAN -> full model; gradient balancer and adversarial loss,A/AE -> B/RVQ -> C/GAN -> D/full
72400,72400,100.0,200,200,100.0,362,362,104014,104014,B/RVQ,419.9295,2e-05,2.381352,685.829419,0.0,424.972351,0.072754,0.0,1.673566,0.659429,0.474956,0.822321,0.139819,1.545809,0.472786,55.8594,57.5686,334.0,82.0,3.234375,32/32,32/32,32/32,,0.5,0.0,5.0,0.0,0.35,grad,23.681955,152.014476,20260424_023406,experiments\20260424_023406_continue_65160\logs.csv,,,,,,,407,72400,RVQ baseline: strong VQ,RVQ baseline: strong VQ,AE -> RVQ; older baseline with strong VQ pressure and gradient balancer,A/AE -> B/RVQ
81400,81400,100.0,200,200,100.0,407,407,104014,104014,D/full,257.7182,2e-05,3.880206,993.332844,0.0,4.154896,0.078125,0.0,1.150831,0.245871,0.389177,0.821936,0.128113,1.137029,0.357379,59.7656,56.052,52.75,5.0,4.5,239/256,128/128,,,1.25,0.0,0.25,0.0,0.25,off,34.321236,104.891327,20260426_094053,experiments\20260426_094053\logs.csv,,,,,,,200,81400,"Final: full model, balancer OFF","Final: full model, balancer
OFF","AE -> RVQ -> full model; fast setting, balancer off, stft=1.25, vq=0.25",A/AE -> B/RVQ -> D/full
