run,run_label,run_label_wrapped,run_detail,phase_path,run_rows,run_last_step,step,stft_weight,vq_weight,adv_weight,marginal_weight,balancer,loss_total,l1,stft,cos_pct,vq_loss,samples_per_s,ms_per_update
20260426_085358,AE only: grad balancer,AE only: grad balancer,"ae; stft=1.00, vq=0.00, run 085358",ae,1,5,5,1.0,0.0,0.0,0.0,grad,38.376892,0.132812,3.246443,-6.543,0.0,132.636078,2171.3549
20260426_093342,AE only: balancer OFF,AE only: balancer OFF,"ae; stft=1.25, vq=0.00, run 093342",ae,1,5,5,1.25,0.0,0.0,0.0,off,7.790593,0.122559,3.591896,0.1549,0.0,28.427836,9005.2581
20260426_085612,AE only: balancer OFF,AE only: balancer OFF,"ae; stft=1.25, vq=0.00, run 085612",ae,1,5,5,1.25,0.0,0.0,0.0,off,5.693802,0.144531,2.063258,-6.543,0.0,144.011468,1999.8407
20260426_093232,AE only: balancer OFF,AE only: balancer OFF,"ae; stft=1.25, vq=0.00, run 093232",ae,1,5,5,1.25,0.0,0.0,0.0,off,7.40502,0.135742,3.252947,0.1427,0.0,25.695576,9962.8046
20260425_182617,full model: grad balancer,full model: grad balancer,"A/AE -> B/RVQ -> D/full; stft=0.13, vq=0.25, run 182617",A/AE -> B/RVQ -> D/full,6,6,6,0.125234,0.25,0.0,0.179975,grad,15.55554,0.066895,3.17256,0.6256,12.75,6.179994,323.6249
20260426_185639,full model: grad balancer,full model: grad balancer,"B/RVQ -> D/full; stft=0.65, vq=0.50, run 185639",B/RVQ -> D/full,2,8,8,0.65,0.5,0.0,0.499927,grad,45.130487,0.099609,3.370774,0.0938,3.15625,194.299222,1317.5555
20260426_155815,full model: balancer OFF,full model: balancer OFF,"D/full; stft=1.25, vq=0.50, run 155815",D/full,1,8,8,1.25,0.5,0.0,0.499927,off,10.129375,0.114258,2.327467,-0.1137,3.15625,200.005313,1279.966
20260426_081053,full model: grad balancer,full model: grad balancer,"A/AE -> B/RVQ -> D/full; stft=0.13, vq=0.25, run 081053",A/AE -> B/RVQ -> D/full,8,8,8,0.125328,0.25,0.0,0.179965,grad,13.638056,0.099121,3.918637,0.1709,0.294922,1.24947,1600.679
20260426_185815,full model: balancer OFF,full model: balancer OFF,"B/RVQ -> D/full; stft=0.65, vq=0.50, run 185815",B/RVQ -> D/full,2,8,8,0.65,0.5,0.0,0.499927,off,15.886396,0.102539,3.749442,-0.1053,2.78125,204.045238,1254.6237
20260426_082726,full model: grad balancer,full model: grad balancer,"A/AE -> B/RVQ -> D/full; stft=0.13, vq=0.25, run 082726",A/AE -> B/RVQ -> D/full,8,8,8,0.125328,0.25,0.0,0.499927,grad,13.602363,0.097168,4.064037,-0.0801,0.079102,1.263598,1582.7824
20260426_211036,full model: balancer OFF,full model: balancer OFF,"B/RVQ -> D/full; stft=0.65, vq=0.50, run 211036",B/RVQ -> D/full,2,8,8,0.65,0.5,0.0,0.499927,off,14.912768,0.053344,5.919697,-13.6853,5.905447,4.584964,218.1042
20260426_093732,AE only: balancer OFF,AE only: balancer OFF,"ae; stft=1.25, vq=0.00, run 093732",ae,1,8,8,1.25,0.0,0.0,0.0,off,5.443055,0.128906,2.242054,-0.1335,0.0,214.522864,1193.346
20260426_093946,full model: balancer OFF,full model: balancer OFF,"D/full; stft=1.25, vq=0.25, run 093946",D/full,1,8,8,1.25,0.25,0.0,0.499927,off,10.438313,0.111816,2.050782,-0.0212,14.25,211.207181,1212.08
20260426_185556,full model: grad balancer,full model: grad balancer,"B/RVQ -> D/full; stft=0.65, vq=0.50, run 185556",B/RVQ -> D/full,2,10,10,0.65,0.5,0.0,0.499906,grad,63.479301,0.130986,7.268242,-1.6791,4.51853,12.221041,81.8261
20260426_185846,full model: balancer OFF,full model: balancer OFF,"B/RVQ -> D/full; stft=0.65, vq=0.50, run 185846",B/RVQ -> D/full,2,40,40,0.65,0.5,0.0,0.499594,off,13.658693,0.176758,2.901264,-42.9688,0.404297,506.943281,504.9875
20260426_190014,full model: balancer OFF,full model: balancer OFF,"B/RVQ -> D/full; stft=0.65, vq=0.50, run 190014",B/RVQ -> D/full,2,40,40,0.65,0.5,0.0,0.499594,off,6.059779,0.174805,2.082126,-30.8594,0.257812,510.744571,501.229
