step	mel_loss	adv_loss	commit_loss	vq_util	n_active	bitrate	grad_norm	lr
10400	1.6520	0.0000	0.0000	1.0000	1	752.0	7.6330	0.000085
10600	1.6938	0.0000	0.0000	1.0000	1	752.0	16.4249	0.000085
10800	1.4012	0.0000	0.0000	1.0000	1	752.0	6.2566	0.000086
11000	1.4500	0.0000	0.0000	1.0000	1	752.0	6.4632	0.000087
11200	1.6595	0.0000	0.0000	1.0000	1	752.0	3.4998	0.000087
11400	1.2999	0.0000	0.0000	1.0000	1	752.0	12.4777	0.000088
11600	1.2982	0.0000	0.0000	1.0000	1	752.0	6.4797	0.000089
11800	1.5267	0.0000	0.0000	1.0000	1	752.0	7.0340	0.000089
12000	1.2671	0.0000	0.0000	1.0000	1	752.0	4.5370	0.000090
12200	1.4789	0.0000	0.0000	1.0000	1	752.0	5.8796	0.000091
12400	1.4046	0.0000	0.0000	1.0000	1	752.0	14.9641	0.000091
12600	1.3806	0.0000	0.0000	1.0000	1	752.0	11.3409	0.000092
12800	1.4810	0.0000	0.0000	1.0000	1	752.0	8.4652	0.000093
13000	1.4562	0.0000	0.0000	1.0000	1	752.0	7.7282	0.000093
13200	1.4594	0.0000	0.0000	1.0000	1	752.0	7.2037	0.000094
13400	1.3626	0.0000	0.0000	1.0000	1	752.0	12.7406	0.000095
13600	1.3593	0.0000	0.0000	1.0000	1	752.0	8.5803	0.000095
13800	1.4565	0.0000	0.0000	1.0000	1	752.0	12.9040	0.000096
14000	1.4224	0.0000	0.0000	1.0000	1	752.0	7.8657	0.000097
14200	1.6101	0.0000	0.0000	1.0000	1	752.0	4.0070	0.000097
14400	1.4506	0.0000	0.0000	1.0000	1	752.0	4.7691	0.000098
14600	1.6827	0.0000	0.0000	1.0000	1	752.0	6.5709	0.000099
14800	1.4386	0.0000	0.0001	1.0000	1	752.0	7.3333	0.000099
15000	1.2917	0.0000	0.0001	1.0000	1	752.0	5.7660	0.000100
15200	1.3569	0.3698	0.0002	1.0000	1	752.0	5.2410	0.000100
15400	1.6312	0.3092	0.0001	1.0000	1	752.0	10.6020	0.000100
15600	1.5896	0.3050	0.0002	1.0000	1	752.0	11.3139	0.000100
15800	1.3080	0.3207	0.0002	1.0000	1	752.0	5.5662	0.000100
16000	1.3500	0.3461	0.0007	1.0000	1	752.0	9.3267	0.000100
