step	mel_loss	adv_loss	commit_loss	vq_util	n_active	bitrate	grad_norm	lr
37600	0.5523	0.3772	0.0225	1.0000	1	752.0	54.3094	0.000028
37800	0.5987	0.3365	0.0226	1.0000	1	752.0	93.0568	0.000027
38000	0.6283	0.3802	0.0207	1.0000	1	752.0	43.3292	0.000026
38200	0.6713	0.4002	0.0208	1.0000	1	752.0	683.0938	0.000026
38400	0.5846	0.3184	0.0212	1.0000	1	752.0	36.9375	0.000025
38600	0.5623	0.3373	0.0224	1.0000	1	752.0	141.9967	0.000024
38800	0.5957	0.3866	0.0218	1.0000	1	752.0	52.3493	0.000023
39000	0.6019	0.3342	0.0213	1.0000	1	752.0	74.6824	0.000022
39200	0.5418	0.3583	0.0205	1.0000	1	752.0	1523.3552	0.000022
39400	0.5994	0.3642	0.0221	1.0000	1	752.0	59.5466	0.000021
39600	0.6156	0.3610	0.0206	1.0000	1	752.0	64.6473	0.000020
39800	0.5308	0.3597	0.0231	1.0000	1	752.0	94.3270	0.000020
40000	0.5442	0.4166	0.0209	1.0000	1	752.0	49.2536	0.000019
40200	0.5440	0.3559	0.0220	1.0000	1	752.0	93.9223	0.000018
40400	0.5358	0.4184	0.0204	1.0000	1	752.0	116.4838	0.000017
40600	0.5542	0.4304	0.0201	1.0000	1	752.0	51.2416	0.000017
40800	0.6496	0.3531	0.0221	1.0000	1	752.0	53.5788	0.000016
41000	0.5844	0.3576	0.0218	1.0000	1	752.0	55.1152	0.000015
41200	0.5806	0.3988	0.0219	1.0000	1	752.0	70.0735	0.000015
41400	0.6104	0.3581	0.0215	1.0000	1	752.0	89.1140	0.000014
41600	0.5343	0.4171	0.0217	1.0000	1	752.0	71.5675	0.000014
41800	0.6208	0.3624	0.0212	1.0000	1	752.0	48.6882	0.000013
42000	0.6278	0.4013	0.0214	1.0000	1	752.0	64.0222	0.000012
42200	0.5605	0.3652	0.0207	1.0000	1	752.0	43.5998	0.000012
42400	0.6105	0.3724	0.0211	1.0000	1	752.0	62.8808	0.000011
42600	0.5802	0.3814	0.0204	1.0000	1	752.0	60.8332	0.000011
42800	0.5731	0.3828	0.0225	1.0000	1	752.0	53.6193	0.000010
43000	0.5564	0.4110	0.0225	1.0000	1	752.0	76.9843	0.000010
43200	0.6202	0.3807	0.0211	1.0000	1	752.0	65.3903	0.000009
43400	0.5605	0.3334	0.0216	1.0000	1	752.0	43.9795	0.000009
43600	0.5669	0.3815	0.0213	1.0000	1	752.0	87.9695	0.000008
43800	0.6071	0.4401	0.0217	1.0000	1	752.0	50.6154	0.000008
44000	0.5450	0.3462	0.0228	1.0000	1	752.0	119.6924	0.000007
44200	0.5217	0.3415	0.0209	1.0000	1	752.0	75.2942	0.000007
44400	0.5123	0.3520	0.0217	1.0000	1	752.0	65.5557	0.000006
44600	0.5300	0.3792	0.0202	1.0000	1	752.0	116.7031	0.000006
44800	0.5502	0.3710	0.0209	1.0000	1	752.0	79.0472	0.000005
